Code,Country,population,Area,GDP,Continent,
CHN,China,1398.72,9596.96,12234.78,Asia,
IND,India,1351.16,3287.26,2575.67,Asia,
USA,US,329.74,9833.52,19485.39,N.America,
IDN,Indonesia,268.07,1910.93,1015.54,Asia,
BRA,Brazil,210.32,8515.77,2055.51,S.America,
PAK,Pakistan,205.71,881.91,302.14,Asia,
NGA,Nigeria,200.96,923.77,375.77,Africa,
BGD,Bangladesh,167.09,147.57,245.63,Asia,
RUS,Russia,146.79,17098.25,1530.75,NaN,
MEX,Mexico,126.58,1964.38,1158.23,N.America,
JPN,Japan,126.22,377.97,4872.42,Asia,
DEU,Germany,83.02,357.11,3693.2,Europe,
FRA,France,67.02,640.68,2582.49,Europe,
GBR,UK,66.44,242.5,2631.23,Europe,
ITA,Italy,60.36,301.34,1943.84,Europe,
ARG,Argentina,44.94,2780.4,637.49,S.America,
DZA,Algeria,43.38,2381.74,167.56,Africa,
CAN,Canada,37.59,9984.67,1647.12,N.America,
AUS,Australia,25.47,7692.02,1408.68,Oceania,
KAZ,Kazakhstan,18.53,2724.9,159.41,Asia,
